tsne_1,tsne_2,dataset_source
27.763317,-51.06582,Real Data
62.74968,-4.885054,Real Data
-23.247883,47.129948,Real Data
-19.293676,-47.76908,Real Data
28.636248,22.619993,Real Data
36.53032,-44.25082,Real Data
-33.635445,21.474846,Real Data
25.717138,-48.795975,Real Data
56.281776,-12.594105,Real Data
-1.158347,-8.181835,Real Data
51.016003,-7.6479836,Real Data
-43.78071,14.048614,Real Data
26.48985,-25.172592,Real Data
-12.346753,-52.838238,Real Data
-3.9263637,-40.87925,Real Data
13.395297,-8.876343,Real Data
-47.149452,18.73018,Real Data
1.3859575,12.579716,Real Data
5.2757254,14.727185,Real Data
2.587484,40.11318,Real Data
-58.045475,5.2511253,Real Data
-12.665107,39.472755,Real Data
13.395893,-8.875866,Real Data
21.725828,-56.425785,Real Data
-28.411722,28.222826,Real Data
24.27045,22.83898,Real Data
41.88792,45.197887,Real Data
3.5836277,-58.700516,Real Data
-31.000515,43.657703,Real Data
-6.068287,7.632699,Real Data
23.681517,-42.465836,Real Data
-67.74335,19.159718,Real Data
-7.6940246,-49.096844,Real Data
-51.59647,6.5783844,Real Data
47.526413,9.328794,Real Data
17.32232,-32.99995,Real Data
-4.174042,38.229687,Real Data
59.005104,0.34644064,Real Data
7.138534,25.64938,Real Data
46.20153,40.16341,Real Data
-25.051794,-21.461422,Real Data
-31.359547,-28.87979,Real Data
2.341703,50.44381,Real Data
0.9410456,48.065125,Real Data
